LOC.ID,log2FoldChange,lfcSE,pvalue,padj,Description,GO.Biological,GO.Cellular,GO.Molecular
LOC116921578.1,-48.15027862,2.932160088,1.34E-60,1.98E-56,NA,NA,NA,NA
LOC116917555.1,-38.32344067,2.982911843,8.87E-38,6.53E-34,NA,NA,NA,NA
LOC116920008.1,-39.8015782,3.201689902,1.76E-35,8.66E-32,NA,NA,NA,NA
LOC116915623.1,-28.85650795,2.522233595,2.61E-30,9.62E-27,NA,NA,NA,NA
LOC123476975.1,-32.09408525,2.890241879,1.20E-28,3.52E-25,NA,NA,NA,NA
LOC123477078.1,-36.88752689,4.019067553,4.39E-20,1.08E-16,NA,NA,NA,NA
LOC123475952.4,-37.80945482,4.102644563,3.09E-20,4.17E-16,NA,NA,NA,NA
LOC116919554.1,23.67644651,2.655350809,4.81E-19,1.01E-15,NA,NA,NA,NA
LOC123470209.4,-39.65497107,4.787880364,1.21E-16,5.44E-13,NA,NA,NA,NA
LOC123474422.4,-22.10735954,2.654455408,8.19E-17,5.44E-13,NA,NA,NA,NA
LOC116931585.4,-43.19873269,5.354494022,7.16E-16,2.42E-12,NA,NA,NA,NA
LOC116929224.4,-32.82006595,4.147120296,2.49E-15,6.74E-12,NA,NA,NA,NA
LOC116927877.4,-36.68824547,4.847450807,3.77E-14,8.50E-11,NA,NA,NA,NA
LOC123476982.4,-40.48522357,5.720593142,1.47E-12,2.84E-09,NA,NA,NA,NA
LOC116934814.4,-36.55383991,5.379238726,1.08E-11,1.82E-08,NA,NA,NA,NA
LOC116932101,-23.08864717,3.268312131,1.61E-12,1.93E-08,XP_032795725.1 pro-resilin-like [Daphnia magna],,,GO:0005214-structural constituent of chitin-based cuticle(L=3)
LOC123470092.4,-18.48336181,2.760739539,2.16E-11,3.24E-08,NA,NA,NA,NA
LOC116920549.4,-19.29115333,2.921550721,4.03E-11,5.44E-08,NA,NA,NA,NA
LOC116919554.3,24.96686643,3.69916697,1.49E-11,1.69E-07,NA,NA,NA,NA
LOC116934328.1,-25.0044021,3.859200022,9.22E-11,1.70E-07,NA,NA,NA,NA
LOC123469784.5,-22.82246148,3.459968894,4.22E-11,2.21E-07,NA,NA,NA,NA
LOC123471062.5,-23.91671548,3.602250735,3.15E-11,2.21E-07,NA,NA,NA,NA
LOC123466939.4,-22.8754564,3.602851916,2.16E-10,2.66E-07,NA,NA,NA,NA
LOC116924912,-22.61419879,3.54897498,1.87E-10,4.45E-07,NA,NA,NA,NA
LOC116927825,-24.38633397,3.752616073,8.11E-11,4.45E-07,XP_032790757.1 glycine-rich protein 5-like [Daphnia magna],,,
LOC116931149,-21.70730799,3.434174719,2.60E-10,4.45E-07,XP_032794574.1 cuticle protein 8-like [Daphnia magna],,,
LOC116931417,-20.96099195,3.313826299,2.53E-10,4.45E-07,XP_032794900.1 neuropeptide-like protein 30 isoform X1 [Daphnia magna],,,
LOC116932220,-23.40492366,3.69200048,2.31E-10,4.45E-07,XP_032795914.1 uncharacterized protein LOC116932220 [Daphnia magna],,,
LOC116935950,-22.10819162,3.497134157,2.59E-10,4.45E-07,XP_032799048.1 cytochrome P450 4c3-like [Daphnia magna],GO:0006082-organic acid metabolic process(L=3),GO:0006629-lipid metabolic process(L=3),GO:0007049-cell cycle(L=3)
LOC123466558,-22.30512815,3.546103511,3.17E-10,4.76E-07,XP_032797657.1 adhesive plaque matrix protein-like [Daphnia magna],,,
LOC116929264,-21.87609217,3.533962667,6.01E-10,7.22E-07,XP_032792343.1 adhesive plaque matrix protein-like [Daphnia magna],,,
LOC116931095,-20.27968825,3.276286488,6.02E-10,7.22E-07,XP_032794496.1 bumetanide-sensitive sodium-(potassium)-chloride cotransporter-like [Daphnia magna],GO:0003014-renal system process(L=3),GO:0006810-transport(L=3),GO:0006970-response to osmotic stress(L=3)
LOC116917260.5,6.05114707,0.968456945,4.15E-10,1.45E-06,NA,NA,NA,NA
LOC116931596,-20.70130453,3.414981234,1.35E-09,1.47E-06,XP_032795083.1 pro-resilin-like [Daphnia magna],,,GO:0005214-structural constituent of chitin-based cuticle(L=3)
LOC123466562,-21.66868726,3.582901385,1.47E-09,1.47E-06,XP_032795273.1 neurotrophin 1-like [Daphnia magna],GO:0006928-movement of cell or subcellular component(L=3),GO:0006935-chemotaxis(L=3),GO:0007165-signal transduction(L=3)
LOC116915482,-23.09135666,3.855982552,2.12E-09,1.49E-06,XP_032776533.1 larval cuticle protein 65Ag1-like [Daphnia magna],,,GO:0003676-nucleic acid binding(L=3)
LOC116915489,-21.44854983,3.572853493,1.93E-09,1.49E-06,XP_032776538.1 larval cuticle protein 65Ag1-like [Daphnia magna],,,GO:0003676-nucleic acid binding(L=3)
LOC116921724,-22.7966991,3.788791465,1.78E-09,1.49E-06,NA,NA,NA,NA
LOC116932097,-21.17402393,3.514701107,1.70E-09,1.49E-06,XP_032795718.1 larval cuticle protein 65Ag1-like isoform X1 [Daphnia magna],,,GO:0005214-structural constituent of chitin-based cuticle(L=3)
LOC116934176,-21.59918858,3.602985707,2.04E-09,1.49E-06,XP_032797656.1 adhesive plaque matrix protein-like [Daphnia magna],,,
LOC116915641,-22.20346171,3.755416028,3.37E-09,2.22E-06,,,,
LOC116928890,-21.18428812,3.587308715,3.52E-09,2.22E-06,XP_032791921.1 uncharacterized protein LOC116928890 [Daphnia magna],GO:0019538-protein metabolic process(L=3),GO:0043170-macromolecule metabolic process(L=3),
LOC116930321.1,-25.887156,4.282722842,1.50E-09,2.45E-06,NA,NA,NA,NA
LOC123470168,-21.3942503,3.646285018,4.43E-09,2.65E-06,XP_032776529.1 pupal cuticle protein Edg-78E-like [Daphnia magna],,,
LOC116915473,-23.58075425,4.02713049,4.76E-09,2.67E-06,XP_032776521.1 larval cuticle protein 65Ag1-like [Daphnia magna],,,GO:0003676-nucleic acid binding(L=3)
LOC116929333,-20.91301131,3.578867391,5.11E-09,2.67E-06,,,,
LOC116936512,-20.20009989,3.456392432,5.09E-09,2.67E-06,EFX79252.1 hypothetical protein DAPPUDRAFT_319754 [Daphnia pulex],,,
LOC116920543.5,-20.37026028,3.362975414,1.38E-09,3.63E-06,NA,NA,NA,NA
LOC116922726.3,26.43491764,4.328721362,1.02E-09,3.86E-06,NA,NA,NA,NA
LOC116925745.3,21.6322684,3.534944364,9.38E-10,3.86E-06,NA,NA,NA,NA
